query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
L51	96.2544231415	238	CROP	0.0395660400391	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	5343	96.2148571014609	WatDiv	General
L51	95.3811480999	238	CROP	0.0312459468842	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	5343	95.3499021530158	WatDiv	General
L52	18.1937918663	65	CROP	0.0287680625916	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1081	18.1650238037084	WatDiv	General
L52	17.9450569153	65	CROP	0.0320789813995	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1081	17.9129779339005	WatDiv	General
L52	17.4157340527	65	CROP	0.042464971542400004	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1081	17.3732690811576	WatDiv	General
L53	96.0838680267	238	CROP	0.030122041702299998	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	5343	96.0537459849977	WatDiv	General
L53	96.0444011688	238	CROP	0.032644033432	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	5343	96.01175713536799	WatDiv	General
L53	97.2034080029	238	CROP	0.028694868087800002	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	5343	97.17471313481221	WatDiv	General
L54	16.5887589455	65	CROP	0.0245809555054	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1081	16.5641779899946	WatDiv	General
L54	18.2198059559	65	CROP	0.0243430137634	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1081	18.1954629421366	WatDiv	General
L54	17.7803649902	65	CROP	0.0313758850098	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1081	17.748989105190198	WatDiv	General
L55	30.0240428448	74	CROP	0.0300569534302	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1814	29.9939858913698	WatDiv	General
L55	30.025693893400003	74	CROP	0.029021024704	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1814	29.996672868696002	WatDiv	General
L55	29.88799119	74	CROP	0.0234658718109	27.316	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1814	29.864525318189102	WatDiv	General
Q10	9.313137054439999	9040	CROP	0.0787720680237	1833.735	6	0.0	0.0	3	5	False	0.001	0.001	1.0	1598	9.234364986416299	nLDE	General
Q10	9.163801908489999	9040	CROP	0.0730638504028	1833.735	6	0.0	0.0	3	5	False	0.001	0.001	1.0	1598	9.090738058087199	nLDE	General
Q10	9.203689098360002	9040	CROP	0.0586709976196	1833.735	6	0.0	0.0	3	5	False	0.001	0.001	1.0	1598	9.145018100740401	nLDE	General
Q1	0.27325797081000003	2	CROP	0.0769319534302	77.078	6	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.19632601737980004	nLDE	General
Q1	0.266905069351	2	CROP	0.07708597183230001	77.078	6	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.1898190975187	nLDE	General
Q1	0.260452985764	2	CROP	0.0688209533691	77.078	6	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.1916320323949	nLDE	General
Q2	0.31968998909	8	CROP	0.0661389827728	46.7983333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	35	0.2535510063172	nLDE	General
Q2	0.33921790123	8	CROP	0.07633805274960001	46.7983333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	35	0.2628798484804	nLDE	General
Q2	0.328887939453	8	CROP	0.07772779464719999	46.7983333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	35	0.2511601448058	nLDE	General
Q3	0.757394790649	18	CROP	0.06483387947080001	189.22299999999998	6	0.0	0.0	3	5	False	0.001	0.001	1.0	198	0.6925609111782	nLDE	General
Q3	0.727374076843	18	CROP	0.0668668746948	189.22299999999998	6	0.0	0.0	3	5	False	0.001	0.001	1.0	198	0.6605072021482	nLDE	General
Q3	0.734087944031	18	CROP	0.0584230422974	189.22299999999998	6	0.0	0.0	3	5	False	0.001	0.001	1.0	198	0.6756649017335999	nLDE	General
Q4	0.7541618347169999	54	CROP	0.07280087471010001	116.196	6	0.0	0.0	3	5	False	0.001	0.001	1.0	102	0.6813609600068999	nLDE	General
Q4	0.7821650505069999	54	CROP	0.07229995727539999	116.196	6	0.0	0.0	3	5	False	0.001	0.001	1.0	102	0.7098650932316	nLDE	General
